Ratio,Entropy,Std
0.0,0.02693104529863706,0.03808624951021671
0.01,0.11851214998556377,0.11529098019994648
0.02,0.43723378273623714,0.10396091227508074
0.03,0.7390733071803083,0.2967224365734217
0.04,0.9036598094741985,0.1868895137081705
0.05,1.1297592509231358,0.11717818382492863
0.06,1.2247076739903011,0.08375056126297516
0.07,1.2764773506899854,0.05265653753513727
0.08,1.3803372935616507,0.10571774133643463
0.09,1.4343762274106497,0.06259049974159128
0.1,1.4852466577401948,0.09730610220407983
0.11,1.5048454716226782,0.09559801156418159
0.12,1.5317223774628446,0.06486199944615793
0.13,1.5427345243016468,0.06468137928394839
0.14,1.5663832247239313,0.03663769210237663
0.15,1.5885446391826783,0.019946603663917435
0.16,1.6085790840890442,0.04817756551486863
0.17,1.642527700370853,0.030537687663843578
0.18,1.6779508078152523,0.04355742595114844
0.19,1.6928581328780588,0.05607454362753672
0.2,1.6770634401272835,0.046997856782176044
0.21,1.6770634401272835,0.046997856782176044
0.22,1.685460410109072,0.03650820437212365
0.23,1.6845252419992935,0.03763571649315352
0.24,1.6845252419992935,0.03763571649315352
0.25,1.6738159849677092,0.027374756017925085
0.26,1.6770770835995152,0.029969247692200655
0.27,1.6682189027908,0.02667290605691835
0.28,1.682267559522429,0.046416598565681824
0.29,1.6634986255779338,0.07416303356649658
0.3,1.669775348957793,0.07382229497912417
