i_stim,coupling,heretic_ratio,tau_u,final_entropy,final_gini,mean_doubt,justice_score
0.5,0.1,0.0,1.0,2.026204735094695,0.1767080144355007,0.9511544779519397,1.5866760653098175
0.5,0.1,0.0,5.0,1.974077156321398,0.2158741532032767,0.7148172905291806,1.1064834985741094
0.5,0.1,0.15,1.0,2.026204735094695,0.1767080144355007,0.9511544779519397,1.5866760653098175
0.5,0.1,0.15,5.0,1.974077156321398,0.2158741532032767,0.7148172905291806,1.1064834985741094
0.5,0.1,0.3,1.0,2.026204735094695,0.1767080144355007,0.9511544779519397,1.5866760653098175
0.5,0.1,0.3,5.0,1.974077156321398,0.2158741532032767,0.7148172905291806,1.1064834985741094
0.5,0.3,0.0,1.0,2.026204735094695,0.1767080144355007,0.9511544779519397,1.5866760653098175
0.5,0.3,0.0,5.0,1.974077156321398,0.2158741532032767,0.7148172905291806,1.1064834985741094
0.5,0.3,0.15,1.0,2.026204735094695,0.1767080144355007,0.9511544779519397,1.5866760653098175
0.5,0.3,0.15,5.0,1.974077156321398,0.2158741532032767,0.7148172905291806,1.1064834985741094
0.5,0.3,0.3,1.0,2.026204735094695,0.1767080144355007,0.9511544779519397,1.5866760653098175
0.5,0.3,0.3,5.0,1.974077156321398,0.2158741532032767,0.7148172905291806,1.1064834985741094
1.1,0.1,0.0,1.0,1.7334077517300959,0.18383928014880754,0.8451057815329398,1.1956043773820986
1.1,0.1,0.0,5.0,1.571346433249389,0.16701835400823517,0.5468262284848774,0.7157423478880781
1.1,0.1,0.15,1.0,1.7334077517300959,0.18383928014880754,0.8451057815329398,1.1956043773820986
1.1,0.1,0.15,5.0,1.571346433249389,0.16701835400823517,0.5468262284848774,0.7157423478880781
1.1,0.1,0.3,1.0,1.7334077517300959,0.18383928014880754,0.8451057815329398,1.1956043773820986
1.1,0.1,0.3,5.0,1.571346433249389,0.16701835400823517,0.5468262284848774,0.7157423478880781
1.1,0.3,0.0,1.0,1.7334077517300959,0.18383928014880754,0.8451057815329398,1.1956043773820986
1.1,0.3,0.0,5.0,1.571346433249389,0.16701835400823517,0.5468262284848774,0.7157423478880781
1.1,0.3,0.15,1.0,1.7334077517300959,0.18383928014880754,0.8451057815329398,1.1956043773820986
1.1,0.3,0.15,5.0,1.571346433249389,0.16701835400823517,0.5468262284848774,0.7157423478880781
1.1,0.3,0.3,1.0,1.7334077517300959,0.18383928014880754,0.8451057815329398,1.1956043773820986
1.1,0.3,0.3,5.0,1.571346433249389,0.16701835400823517,0.5468262284848774,0.7157423478880781
1.8,0.1,0.0,1.0,0.6343095546405662,0.08520493093552568,0.5728684473976398,0.33241450873960454
1.8,0.1,0.0,5.0,0.6343095546405662,0.08557356527399974,0.41611370811242104,0.24135819466906142
1.8,0.1,0.15,1.0,0.6343095546405662,0.08520493093552568,0.5728684473976398,0.33241450873960454
1.8,0.1,0.15,5.0,0.6343095546405662,0.08557356527399974,0.41611370811242104,0.24135819466906142
1.8,0.1,0.3,1.0,0.6343095546405662,0.08520493093552568,0.5728684473976398,0.33241450873960454
1.8,0.1,0.3,5.0,0.6343095546405662,0.08557356527399974,0.41611370811242104,0.24135819466906142
1.8,0.3,0.0,1.0,0.6343095546405662,0.08520493093552568,0.5728684473976398,0.33241450873960454
1.8,0.3,0.0,5.0,0.6343095546405662,0.08557356527399974,0.41611370811242104,0.24135819466906142
1.8,0.3,0.15,1.0,0.6343095546405662,0.08520493093552568,0.5728684473976398,0.33241450873960454
1.8,0.3,0.15,5.0,0.6343095546405662,0.08557356527399974,0.41611370811242104,0.24135819466906142
1.8,0.3,0.3,1.0,0.6343095546405662,0.08520493093552568,0.5728684473976398,0.33241450873960454
1.8,0.3,0.3,5.0,0.6343095546405662,0.08557356527399974,0.41611370811242104,0.24135819466906142
