ratio,entropy_mean,entropy_std
0.0,1.8477251118613491,0.1741334895883376
0.02,1.8637592233250406,0.11577343968380772
0.04,1.8253994185050701,0.09068607619391741
0.06,1.7789467691392606,0.030237235544889947
0.08,1.7696844603138064,0.059807269622260774
0.1,1.788406234831576,0.08146263291579822
0.12,1.780392002629418,0.08178872598270313
0.14,1.8193482791364595,0.09653564818334419
0.16,1.742514705783546,0.13008061179130873
0.18,1.7262967454630271,0.12766218981767474
0.2,1.6918263375554687,0.13560357108011342
0.22,1.682861682563027,0.1619266373374123
0.24,1.7003855582445895,0.11477769523739915
0.26,1.7186409024806042,0.06423296066097932
0.28,1.7026923144184836,0.07049025710533735
0.3,1.6639079012297138,0.05986102869139109
0.32,1.6151190226192529,0.095408086408403
0.34,1.5542978870949895,0.059691834017866624
0.36,1.5516616512166959,0.06049962571995094
0.38,1.5329975159585179,0.048291158599907465
0.4,1.501712680045215,0.05534297425671356
