heretic_ratio,coupling_strength,entropy
0.0,0.1,2.043578998879974
0.0,0.2,2.043578998879974
0.0,0.30000000000000004,2.043578998879974
0.0,0.4,2.043578998879974
0.0,0.5,2.043578998879974
0.0,0.6,2.043578998879974
0.0,0.7000000000000001,2.043578998879974
0.0,0.8,2.043578998879974
0.0,0.9,2.043578998879974
0.0,1.0,2.043578998879974
0.05,0.1,2.022989758244129
0.05,0.2,2.055411896613579
0.05,0.30000000000000004,1.9962228445821044
0.05,0.4,2.020282345051512
0.05,0.5,2.0620596292292137
0.05,0.6,2.012077312949196
0.05,0.7000000000000001,2.0102372870750864
0.05,0.8,2.029323486046092
0.05,0.9,2.063652824149252
0.05,1.0,1.9654179626367956
0.1,0.1,1.9658550705307571
0.1,0.2,2.0476935273105767
0.1,0.30000000000000004,2.018185710269611
0.1,0.4,2.048516760476895
0.1,0.5,1.9565529681119775
0.1,0.6,1.9798483921718737
0.1,0.7000000000000001,1.940221498917746
0.1,0.8,1.9929819494299412
0.1,0.9,1.8842725290091167
0.1,1.0,2.0079445301513505
0.15000000000000002,0.1,1.8597761020604624
0.15000000000000002,0.2,1.88860690651731
0.15000000000000002,0.30000000000000004,1.9611447058883458
0.15000000000000002,0.4,1.949151854631503
0.15000000000000002,0.5,1.9182840243389325
0.15000000000000002,0.6,1.9539689096599777
0.15000000000000002,0.7000000000000001,2.015123869662855
0.15000000000000002,0.8,2.0568804312531555
0.15000000000000002,0.9,1.9135221582616109
0.15000000000000002,1.0,1.9882555689387702
0.2,0.1,1.9022188083199434
0.2,0.2,1.8259884620697981
0.2,0.30000000000000004,1.8503710267182893
0.2,0.4,1.8483450660605603
0.2,0.5,1.8450297040037358
0.2,0.6,1.9197512767089266
0.2,0.7000000000000001,2.0049714002773644
0.2,0.8,2.0621320232648945
0.2,0.9,1.7659865633212013
0.2,1.0,1.9241041911906924
0.25,0.1,1.8111002377657965
0.25,0.2,2.0019206607303017
0.25,0.30000000000000004,1.699243860269233
0.25,0.4,1.671909276695727
0.25,0.5,1.7139344291786947
0.25,0.6,1.7050924372593705
0.25,0.7000000000000001,1.7047113302098504
0.25,0.8,1.790137265023107
0.25,0.9,1.7716824814447618
0.25,1.0,1.625686968391744
0.30000000000000004,0.1,1.8641057783387658
0.30000000000000004,0.2,1.541183316833789
0.30000000000000004,0.30000000000000004,1.692348846557313
0.30000000000000004,0.4,1.7934350028436399
0.30000000000000004,0.5,1.6697834183888782
0.30000000000000004,0.6,1.8042767480006783
0.30000000000000004,0.7000000000000001,1.5719481096167889
0.30000000000000004,0.8,1.6598531042946203
0.30000000000000004,0.9,1.7262768583447885
0.30000000000000004,1.0,1.6855593871401153
0.35000000000000003,0.1,1.4404027890781075
0.35000000000000003,0.2,1.3294909455770463
0.35000000000000003,0.30000000000000004,1.7716824814447618
0.35000000000000003,0.4,1.581092511663006
0.35000000000000003,0.5,1.60862586880157
0.35000000000000003,0.6,1.535428382322124
0.35000000000000003,0.7000000000000001,1.8078203561705581
0.35000000000000003,0.8,1.4449546864471527
0.35000000000000003,0.9,1.5479946816778707
0.35000000000000003,1.0,1.5841819174567016
0.4,0.1,1.6021091998896475
0.4,0.2,1.2488989394478593
0.4,0.30000000000000004,1.345545689186729
0.4,0.4,1.30430260960188
0.4,0.5,1.4028996544816188
0.4,0.6,1.6019407485419608
0.4,0.7000000000000001,1.5406854291429681
0.4,0.8,1.6580098256372824
0.4,0.9,1.5104413968135086
0.4,1.0,1.5692555157416557
